State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,7.55,7.22,7.3,7.07,7.04,6.93,6.88,6.65,6.14,6.15,6.04,5.98,6.34,5.99,5.77,5.74,5.71,5.52,5.48,5.26,5.34,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.01,14.65,15.81,15.48,16.24,15.2,14.32,14.31,14.03,13.7,13.78,12.95,12.33,12.41,12.38,10.6,11.25,11.3,10.99,11.37,12.31,12.34,12.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,9.32,8.99,8.71,8.47,8.48,8.15,8.1,7.91,7.88,8.1,8.46,8.26,8.84,8.38,8.28,8.36,8.14,7.7,7.75,7.63,7.84,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.77,5.46,5.51,5.46,5.34,5.36,5.29,5.23,5.07,4.67,4.71,4.64,4.63,4.49,4.43,4.25,4.49,4.52,4.43,4.2,4.28,4.27,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88,5.68,5.74,5.25,5.16,5.12,5.05,5.06,5.18,4.85,5.06,4.87,4.64,4.44,4.46,4.19,4.22,4.26,4.08,3.96,3.87,4,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.56,9.49,9.06,9.21,9.19,8.89,8.58,8.28,8.18,8.07,8.28,7.89,7.35,7.48,7.67,7.6,7.73,7.6,7.4,7.32,7.43,7.47,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,6.16,5.99,5.93,5.93,5.69,5.67,5.36,5.08,5.15,5.08,5.03,5.12,5.38,5.27,5.33,5.46,5.42,5.12,5.2,5.23,5.15,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,3.95,3.88,3.81,3.63,3.67,3.78,3.77,3.56,3.24,3.29,3.29,3.03,3.07,2.97,2.72,2.82,2.87,2.81,2.71,2.66,2.7,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86,8.36,8.51,8.39,7.99,7.69,7.7,7.58,7.5,7.24,7.48,7.5,7.24,7.28,7,6.68,6.69,6.64,6.4,6.27,6.1,6.21,5.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.52,12.3,11.96,11.97,11.72,11.13,11.2,10.78,10.69,10.27,10.12,9.8,9.36,9.84,9.49,8.97,9.09,8.98,8.35,8.59,8.71,8.84,8.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,9.06,9.07,8.24,7.63,7.44,6.99,6.63,6.59,6.42,6.21,6.03,6.08,5.81,5.79,5.61,5.67,5.47,5.07,4.92,4.97,4.66,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.83,7.32,7.19,7.33,7.07,7.12,7.05,6.95,6.87,6.61,6.49,6.33,5.99,6.04,5.95,5.69,5.93,5.99,5.72,5.45,5.42,5.56,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
